Neo4j 3.5.14,SF1(0.798G),SF10(8.3G),SF100(86G),,TigerGraph 2.5.1,SF1,SF10,SF100,,LightGraph  1.4.4,SF1,SF10,SF100,,AgensGraph 2.1.2,SF1,SF10,SF100,,,,,
BI_2,3.3624,29.1558,237.55597,,BI_2,0.59259,5.27396,42.4673,,BI_2,0.439716,9.191496,221.79528,,BI_2,6.66516,102.20599,1388.21184,,,,,
BI_3,16.7125,223.438,2846.20849,,BI_3,0.58899,5.01653,47.9802,,BI_3,0.343623,3.870957,221.64888,,BI_3,52.63781,691.63517,TO,,,,,
BI_4,1.5812,14.5043,173.32489,,BI_4,0.01964,0.11608,1.19192,,BI_4,0.028035,0.092032,3.57183,,BI_4,0.20841,0.62234,4.76446,,,,,
BI_5,31.2321,52.8647,206.93595,,BI_5,0.10595,0.3682,2.84756,,BI_5,0.039431,0.288566,5.36491,,BI_5,19.73815,59.81972,739.51798,,,,,
BI_6,0.1808,1.5961,10.24502,,BI_6,0.11383,0.40658,3.33682,,BI_6,0.011627,0.129475,5.31337,,BI_6,1.19991,10.22454,81.02348,,,,,
BI_7,375.7577,TO,TO,,BI_7,0.88383,10.00816,OOM,,BI_7,0.040549,0.738951,38.62695,,BI_7,1647.81799,TO,TO,,,,,
BI_8,0.4139,3.8879,43.31027,,BI_8,0.0311,0.15845,1.324,,BI_8,0.079653,1.002542,60.07028,,BI_8,1.65369,6.46215,69.90258,,,,,
BI_9,4.7903,67.7592,833.30048,,BI_9,0.0416,0.50806,7.074,,BI_9,0.022184,0.268387,54.52403,,BI_9,3.9761,72.20032,1455.97294,,,,,
BI_10,941.2181,TO,TO,,BI_10,0.05146,0.3136,4.10525,,BI_10,0.032881,0.401688,33.91469,,BI_10,48.14731,692.23255,TO,,,,,
BI_11,3.3245,35.7237,234.54562,,BI_11,0.68837,6.24412,63.50625,,BI_11,0.557998,4.018134,186.60799,,BI_11,2.46503,21.54465,272.43633,,,,,
BI_12,8.6557,127.2413,3120.60141,,BI_12,0.42345,4.6149,47.95016,,BI_12,0.593491,8.482936,605.51064,,BI_12,5.34798,120.79928,2303.14123,,,,,
BI_13,0.7662,5.5649,46.35398,,BI_13,0.18403,1.62774,13.20953,,BI_13,0.118834,1.069019,82.65887,,BI_13,1.39079,14.35519,415.48713,,,,,
BI_14,4.245,49.8815,430.78726,,BI_14,0.10071,0.90959,7.09905,,BI_14,0.240124,3.151385,233.01052,,BI_14,6.02778,66.64894,681.75268,,,,,
BI_15,0.0795,0.8589,6.89883,,BI_15,0.0063,0.01148,0.03546,,BI_15,0.006802,0.053541,1.62686,,BI_15,0.51359,8.01666,72.25889,,,,,
BI_16,3.3633,39.9735,429.91969,,BI_16,0.48733,4.58871,50.64123,,BI_16,0.575843,6.624769,426.0886,,BI_16,TO,TO,TO,,,,,
BI_17,0.4056,34.6536,TO,,BI_17,0.01016,0.02502,0.19523,,BI_17,0.00704,0.058861,0.88444,,BI_17,0.27262,3.54933,999.11039,,,,,
BI_18,6.4363,75.999,700.07636,,BI_18,0.36581,4.71364,52.56833,,BI_18,2.951598,58.018842,1742.20656,,BI_18,352.5494,TO,TO,,,,,
BI_19,281.28012,3208.09068,TO,,BI_19,24.68903,OOM,OOM,,BI_19,8.122244,94.757192,channel closed,,BI_19,server closed,server closed,TO,,,,,
BI_20,4.7317,44.5332,732.64824,,BI_20,1.21184,14.69261,OOM,,BI_20,0.842505,30.941463,290.80452,,BI_20,36.52957,255.0867,TO,,,,,
BI_21,0.28631,1.37336,16.52024,,BI_21,0.01207,0.0181,0.10927,,BI_21,0.015136,0.103588,3.98872,,BI_21,1.43993,161.85058,TO,,,,,
BI_22,642.8519,TO,TO,,BI_22,0.23005,1.79055,21.12808,,BI_22,0.286015,0.592564,11.25973,,BI_22,221.98569,1118.47686,OOM,,,,,
BI_23,0.1782,1.5473,13.4355,,BI_23,0.01927,0.0632,0.51,,BI_23,0.048534,0.370267,50.09616,,BI_23,0.23689,1.19632,11.22133,,,,,
BI_24,16.245,191.5247,TO,,BI_24,0.77545,7.56999,75.71092,,BI_24,0.664889,14.732252,1198.72464,,BI_24,29.95981,373.20708,TO,,,,,
BI_25,294.05953,239.59593,9.98568,,BI_25,1.3865,1.25694,1.18302,,BI_25,0.11367,0.292224,1.97881,,BI_25,3.49999,119.45272,1938.49397,,,,,
